Model,Parameters,Size (MB),Accuracy,Precision,Recall,F1-Score,Inf. Time (ms),Throughput (img/s)
SWIN,"27,523,199",104.99,0.9775,0.9774,0.9774,0.9773,0.57,1754.07
VIT,"85,802,501",327.31,0.9865,0.9867,0.9864,0.9864,0.77,1294.26
